year,age,maritl,race,education,region,jobclass,health,health_ins,logwage,wage
2005,58,Divorced,Black,HS Grad,Middle Atlantic,Information,Very Good,No,4.397940009,81.28325328
2007,52,Married,White,Some College,Middle Atlantic,Industrial,Good,Yes,4.462397998,86.69515483
2006,45,Married,White,Some College,Middle Atlantic,Information,Good,Yes,5.06069784,157.7005277
2008,33,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.176149161,65.11462388
2004,51,Married,White,Some College,Middle Atlantic,Industrial,Very Good,No,4.505149978,90.48191336
2008,50,Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,No,3.84509804,46.7632688
2006,42,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.447158031,85.38394038
2004,46,Never Married,White,Some College,Middle Atlantic,Industrial,Good,Yes,4.939519253,139.7030715
2005,43,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5,148.4131591
2003,47,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.397940009,81.28325328
2005,47,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,No,4.77815125,118.8843593
2004,44,Married,White,College Grad,Middle Atlantic,Information,Good,No,4.264817823,71.15195654
2008,36,Married,Asian,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.176091259,65.11085372
2008,39,Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.176091259,65.11085372
2003,29,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.832508913,125.5254984
2005,40,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.812913357,123.0896998
2007,20,Never Married,White,Some College,Middle Atlantic,Industrial,Good,Yes,4.260071388,70.81503862
2004,32,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.72427587,112.6488963
2003,36,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.462397998,86.69515483
2009,31,Never Married,Black,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.414973348,82.6796373
2005,28,Married,Asian,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.875061263,130.9821774
2005,41,Divorced,Other,Some College,Middle Atlantic,Information,Good,Yes,4.763427994,117.1468169
2004,54,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,5.176091259,176.9896505
2004,42,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.77815125,118.8843593
2003,19,Never Married,White,HS Grad,Middle Atlantic,Information,Good,Yes,4.230448921,68.74808773
2009,59,Married,White,Some College,Middle Atlantic,Information,Good,No,5.590617833,267.9010869
2003,64,Never Married,White,Some College,Middle Atlantic,Information,Good,Yes,4.602059991,99.6894637
2003,31,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.5289167,92.65813017
2004,37,Never Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.698970004,109.8339856
2004,30,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.477121255,87.98103279
2005,24,Never Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.77815125,118.8843593
2006,26,Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.318063335,75.04315402
2004,44,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.740362689,114.4757133
2008,39,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.623217234,276.7784133
2005,48,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.626186335,277.6014175
2004,53,Never Married,Black,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.389166084,80.57319971
2004,42,Married,Asian,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.740362689,114.4757133
2009,44,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,5.113943352,166.3249412
2003,25,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.447158031,85.38394038
2004,46,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,3.77815125,43.73511168
2003,52,Married,White,Some College,Middle Atlantic,Information,Very Good,No,4.62324929,101.8243521
2008,33,Married,White,Some College,Middle Atlantic,Information,Good,Yes,4.477121255,87.98103279
2007,30,Married,Black,Some College,Middle Atlantic,Information,Very Good,No,4.799340549,121.4303138
2007,38,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.698970004,109.8339856
2005,29,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.380211242,79.85490031
2008,57,Married,Asian,College Grad,Middle Atlantic,Industrial,Good,Yes,4.84509804,127.1157438
2003,50,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.747411808,115.285517
2008,23,Never Married,White,Some College,Middle Atlantic,Industrial,Good,No,4.591086878,98.60153978
2006,46,Divorced,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.973127854,144.4780877
2005,61,Married,White,College Grad,Middle Atlantic,Industrial,Good,Yes,4.913813852,136.1577108
2007,70,Married,White,Below HS Grad,Middle Atlantic,Information,Very Good,No,4.612783857,100.7642728
2009,59,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.342422681,76.89360252
2003,57,Married,Black,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.505149978,90.48191336
2003,25,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.462397998,86.69515483
2005,48,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.819543936,123.9085676
2009,52,Married,Asian,Advanced Degree,Middle Atlantic,Information,Good,No,4.176091259,65.11085372
2009,44,Separated,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.880813592,131.7378012
2004,40,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.204119983,66.96164432
2008,43,Married,White,College Grad,Middle Atlantic,Information,Good,Yes,5.278753601,196.1252726
2005,51,Married,White,Some College,Middle Atlantic,Industrial,Good,Yes,5.113943352,166.3249412
2003,43,Married,Asian,Below HS Grad,Middle Atlantic,Information,Very Good,No,4.176091259,65.11085372
2003,42,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.792391689,120.5894365
2008,28,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.62324929,101.8243521
2003,54,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,No,5,148.4131591
2005,34,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.069231363,159.0520271
2004,50,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.698970004,109.8339856
2005,36,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.942008053,140.0511976
2005,36,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.885468649,132.3524777
2005,71,Widowed,White,Some College,Middle Atlantic,Industrial,Good,Yes,4.77815125,118.8843593
2006,31,Never Married,Asian,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.579783597,97.49329405
2005,43,Married,White,Advanced Degree,Middle Atlantic,Information,Good,Yes,4.903089987,134.7053751
2007,20,Never Married,White,Some College,Middle Atlantic,Industrial,Good,No,4.278753601,72.15045568
2007,23,Never Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.477121255,87.98103279
2007,42,Divorced,White,HS Grad,Middle Atlantic,Industrial,Good,No,3.903089987,49.55533812
2005,41,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.004321374,149.0558956
2009,27,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.806179974,122.2636739
2008,29,Married,White,Some College,Middle Atlantic,Industrial,Good,No,4.62324929,101.8243521
2008,41,Divorced,White,Some College,Middle Atlantic,Industrial,Good,Yes,4.602059991,99.6894637
2003,41,Married,Black,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.653212514,104.9215065
2003,22,Never Married,White,Some College,Middle Atlantic,Information,Good,No,4.397940009,81.28325328
2003,39,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.301029996,73.77574327
2008,50,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,No,4.414973348,82.6796373
2006,49,Never Married,White,College Grad,Middle Atlantic,Industrial,Good,Yes,5,148.4131591
2003,42,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.77815125,118.8843593
2008,38,Married,Black,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.86332286,129.4536446
2004,55,Married,White,College Grad,Middle Atlantic,Information,Good,No,4.903089987,134.7053751
2005,47,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.380211242,79.85490031
2007,52,Married,Other,Below HS Grad,Middle Atlantic,Information,Very Good,No,4.221153322,68.11199407
2009,56,Divorced,White,College Grad,Middle Atlantic,Industrial,Very Good,No,3.698970004,40.40566526
2007,30,Married,White,Some College,Middle Atlantic,Information,Very Good,No,4.880813592,131.7378012
2005,56,Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.903089987,134.7053751
2003,46,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.740362689,114.4757133
2009,43,Married,White,Below HS Grad,Middle Atlantic,Information,Very Good,No,4.838849091,126.3238807
2003,35,Married,White,Some College,Middle Atlantic,Industrial,Good,Yes,4.759667845,116.7071546
2009,58,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.698970004,109.8339856
2009,69,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.397244581,81.22674631
2006,68,Divorced,White,HS Grad,Middle Atlantic,Information,Good,Yes,4.477121255,87.98103279
2004,52,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.84509804,127.1157438
2005,46,Never Married,Black,College Grad,Middle Atlantic,Information,Good,Yes,4.653212514,104.9215065
2007,39,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.681241237,107.9039239
2009,66,Married,White,College Grad,Middle Atlantic,Industrial,Good,No,4.698970004,109.8339856
2005,30,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,4.763427994,117.1468169
2006,30,Divorced,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.681241237,107.9039239
2005,43,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.278753601,72.15045568
2008,49,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,5.079181246,160.6424754
2005,54,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5,148.4131591
2008,48,Divorced,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.963787827,143.1349408
2008,37,Separated,Black,Some College,Middle Atlantic,Information,Very Good,No,4.579783597,97.49329405
2007,46,Married,White,College Grad,Middle Atlantic,Information,Good,Yes,4.954242509,141.7751723
2007,53,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,5,148.4131591
2009,31,Never Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.698970004,109.8339856
2006,18,Never Married,White,Some College,Middle Atlantic,Information,Very Good,No,4.079181246,59.09706408
2003,49,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.027349608,152.5282169
2006,39,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.397940009,81.28325328
2003,40,Married,White,HS Grad,Middle Atlantic,Information,Good,No,3.77815125,43.73511168
2008,37,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.568201724,96.37065283
2006,24,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.62324929,101.8243521
2007,35,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.875061263,130.9821774
2007,27,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.414973348,82.6796373
2003,44,Never Married,Asian,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.875061263,130.9821774
2008,46,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,No,4.491361694,89.24288466
2005,40,Married,White,Some College,Middle Atlantic,Information,Good,No,4.444044796,85.11853342
2007,39,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.113943352,166.3249412
2008,42,Never Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,Yes,4.612783857,100.7642728
2003,37,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.602059991,99.6894637
2008,58,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.812913357,123.0896998
2005,40,Married,Asian,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,5.096910013,163.515864
2003,27,Married,White,HS Grad,Middle Atlantic,Information,Good,Yes,4.447158031,85.38394038
2003,31,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.322219295,75.35567932
2008,44,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.176091259,65.11085372
2003,38,Divorced,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.5289167,92.65813017
2004,34,Married,White,College Grad,Middle Atlantic,Information,Very Good,No,4.924279286,137.5901428
2005,41,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.904174368,134.8515263
2007,20,Never Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,No,4.283301229,72.4793163
2008,28,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.18477374,178.5330504
2009,55,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.591064607,98.59934386
2008,38,Married,White,College Grad,Middle Atlantic,Information,Good,No,4.748188027,115.3750386
2005,33,Never Married,Black,HS Grad,Middle Atlantic,Industrial,Good,No,4.301029996,73.77574327
2009,43,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,3.602059991,36.6737042
2006,50,Married,Asian,College Grad,Middle Atlantic,Information,Very Good,Yes,4.812913357,123.0896998
2008,55,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.477121255,87.98103279
2005,24,Never Married,Black,Some College,Middle Atlantic,Information,Very Good,No,4.303196057,73.93571929
2008,41,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.176091259,176.9896505
2009,37,Divorced,White,College Grad,Middle Atlantic,Information,Good,No,4.77815125,118.8843593
2005,42,Married,White,Some College,Middle Atlantic,Information,Good,Yes,4.903089987,134.7053751
2004,25,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.505149978,90.48191336
2005,45,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5,148.4131591
2009,40,Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.397940009,81.28325328
2004,43,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.875061263,130.9821774
2006,50,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,5.176091259,176.9896505
2003,42,Never Married,White,HS Grad,Middle Atlantic,Information,Good,Yes,4.414973348,82.6796373
2003,38,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.880813592,131.7378012
2006,44,Divorced,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.414973348,82.6796373
2007,19,Never Married,White,Some College,Middle Atlantic,Industrial,Good,No,3.72427587,41.44121303
2004,44,Never Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.763427994,117.1468169
2003,26,Never Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.301029996,73.77574327
2005,54,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.462397998,86.69515483
2006,32,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.602059991,99.6894637
2008,49,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.954242509,141.7751723
2005,35,Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,No,4.260071388,70.81503862
2007,34,Married,White,Below HS Grad,Middle Atlantic,Information,Very Good,No,4.278753601,72.15045568
2003,23,Never Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,No,4,54.59815003
2008,60,Married,Asian,Some College,Middle Atlantic,Information,Good,Yes,4.84509804,127.1157438
2006,54,Married,White,Advanced Degree,Middle Atlantic,Information,Good,Yes,4.301029996,73.77574327
2003,31,Married,Black,Some College,Middle Atlantic,Information,Very Good,No,4.939519253,139.7030715
2006,47,Married,White,College Grad,Middle Atlantic,Information,Very Good,No,5.079181246,160.6424754
2003,48,Divorced,White,HS Grad,Middle Atlantic,Industrial,Good,No,3.176091259,23.95294448
2005,48,Married,White,College Grad,Middle Atlantic,Information,Good,Yes,4.748188027,115.3750386
2004,35,Married,White,HS Grad,Middle Atlantic,Information,Good,No,4.740362689,114.4757133
2006,55,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.84509804,127.1157438
2004,35,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.924279286,137.5901428
2009,37,Married,Asian,College Grad,Middle Atlantic,Information,Very Good,Yes,5.176091259,176.9896505
2003,27,Never Married,Black,HS Grad,Middle Atlantic,Information,Very Good,No,3.147367108,23.27470405
2007,64,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.505149978,90.48191336
2003,52,Divorced,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.301029996,73.77574327
2007,47,Separated,Black,Below HS Grad,Middle Atlantic,Information,Very Good,No,4.414973348,82.6796373
2003,26,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.041392685,56.90553914
2005,41,Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,No,4.857332496,128.6804882
2009,22,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.318063335,75.04315402
2004,76,Married,White,Some College,Middle Atlantic,Industrial,Good,No,4.301029996,73.77574327
2006,46,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.682740581,108.0658303
2006,39,Married,Black,Some College,Middle Atlantic,Industrial,Good,Yes,4.812913357,123.0896998
2006,39,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,5.626899559,277.7994802
2004,23,Never Married,White,Some College,Middle Atlantic,Industrial,Good,Yes,4.301029996,73.77574327
2006,49,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.819543936,123.9085676
2009,44,Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,No,4.477121255,87.98103279
2006,20,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.255272505,70.47601965
2005,43,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.626186335,277.6014175
2006,42,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5,148.4131591
2009,46,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.740362689,114.4757133
2009,33,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.602059991,99.6894637
2003,62,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.591980114,268.266292
2006,38,Married,White,Some College,Middle Atlantic,Information,Good,Yes,4.875061263,130.9821774
2005,43,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,No,4.698970004,109.8339856
2005,46,Divorced,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.626186335,277.6014175
2006,18,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.301029996,73.77574327
2009,63,Married,White,Advanced Degree,Middle Atlantic,Information,Good,No,5.590617833,267.9010869
2006,43,Never Married,Black,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,4.785329835,119.7408513
2009,44,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.954242509,141.7751723
2008,53,Never Married,Black,Some College,Middle Atlantic,Information,Good,Yes,4.854002233,128.2526611
2008,58,Never Married,White,Below HS Grad,Middle Atlantic,Information,Good,Yes,4.505149978,90.48191336
2003,23,Never Married,White,College Grad,Middle Atlantic,Industrial,Very Good,No,4.342422681,76.89360252
2004,50,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.84509804,127.1157438
2004,35,Never Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.77815125,118.8843593
2006,38,Married,White,Advanced Degree,Middle Atlantic,Information,Good,Yes,5.301029996,200.5432623
2004,36,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.477121255,87.98103279
2005,32,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5,148.4131591
2003,56,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.591980114,268.266292
2005,41,Married,White,Some College,Middle Atlantic,Information,Very Good,No,4.477121255,87.98103279
2004,40,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.602059991,99.6894637
2004,26,Never Married,White,College Grad,Middle Atlantic,Industrial,Very Good,No,4.414973348,82.6796373
2006,26,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.875061263,130.9821774
2008,47,Divorced,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.69019608,108.8745258
2007,25,Never Married,Black,College Grad,Middle Atlantic,Information,Very Good,No,4,54.59815003
2006,58,Married,Black,Some College,Middle Atlantic,Information,Good,No,5.735189959,309.5717713
2008,57,Married,White,HS Grad,Middle Atlantic,Information,Very Good,No,4.415006754,82.68239934
2003,30,Never Married,White,Below HS Grad,Middle Atlantic,Information,Very Good,No,4.088136089,59.62864555
2007,44,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.113943352,166.3249412
2009,29,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.380211242,79.85490031
2007,51,Married,White,College Grad,Middle Atlantic,Industrial,Good,No,4.77815125,118.8843593
2006,37,Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,No,4.531478917,92.89584479
2004,67,Married,Asian,Advanced Degree,Middle Atlantic,Information,Good,Yes,5.079181246,160.6424754
2009,34,Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,No,4.255272505,70.47601965
2003,50,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.792391689,120.5894365
2005,38,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,5.079181246,160.6424754
2008,55,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.146128036,171.7651326
2003,27,Never Married,White,Some College,Middle Atlantic,Industrial,Good,Yes,4.792391689,120.5894365
2007,39,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.903089987,134.7053751
2007,54,Married,White,Some College,Middle Atlantic,Industrial,Good,Yes,5,148.4131591
2008,55,Divorced,White,Advanced Degree,Middle Atlantic,Information,Good,Yes,4.86332286,129.4536446
2003,49,Married,Black,Some College,Middle Atlantic,Information,Good,No,4.903089987,134.7053751
2003,42,Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,No,4.041392685,56.90553914
2005,39,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,No,4.477121255,87.98103279
2003,32,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.221153322,68.11199407
2005,39,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.857332496,128.6804882
2003,50,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.903089987,134.7053751
2004,47,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.544068044,94.07271475
2003,40,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,No,4.477121255,87.98103279
2006,51,Never Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.77815125,118.8843593
2009,28,Married,Asian,Some College,Middle Atlantic,Industrial,Very Good,No,4.230448921,68.74808773
2007,53,Divorced,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.544068044,94.07271475
2005,54,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.77815125,118.8843593
2009,51,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.51851394,91.69922611
2008,33,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,No,4.903089987,134.7053751
2008,55,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,No,4.84509804,127.1157438
2003,44,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,4.612783857,100.7642728
2009,30,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.662757832,105.9278108
2005,40,Married,Asian,Advanced Degree,Middle Atlantic,Information,Good,Yes,4.477121255,87.98103279
2007,26,Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.602059991,99.6894637
2006,49,Married,Asian,College Grad,Middle Atlantic,Information,Good,Yes,4.72427587,112.6488963
2004,43,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,5.096910013,163.515864
2004,43,Never Married,Black,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.414973348,82.6796373
2008,44,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.380211242,79.85490031
2006,32,Never Married,White,College Grad,Middle Atlantic,Industrial,Very Good,No,3.903089987,49.55533812
2009,34,Married,Asian,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.029383778,152.838801
2009,36,Married,Asian,College Grad,Middle Atlantic,Information,Good,Yes,5,148.4131591
2006,51,Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.619093331,101.4020523
2007,42,Married,White,Some College,Middle Atlantic,Information,Good,No,4.561101384,95.68881191
2003,60,Married,White,Advanced Degree,Middle Atlantic,Industrial,Good,Yes,4.77815125,118.8843593
2004,36,Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.342422681,76.89360252
2006,47,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.77815125,118.8843593
2004,60,Married,White,Some College,Middle Atlantic,Information,Good,Yes,4.929418926,138.2991269
2003,22,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4,54.59815003
2005,41,Never Married,Black,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.176091259,65.11085372
2003,56,Divorced,White,College Grad,Middle Atlantic,Industrial,Very Good,No,4.698970004,109.8339856
2003,44,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.301029996,73.77574327
2005,49,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.662757832,105.9278108
2006,45,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.755874856,116.2653241
2003,25,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,No,4.544068044,94.07271475
2007,52,Married,White,Some College,Middle Atlantic,Industrial,Good,Yes,4.77815125,118.8843593
2003,30,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5,148.4131591
2009,29,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.653212514,104.9215065
2007,23,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.380211242,79.85490031
2007,48,Divorced,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.69019608,108.8745258
2009,44,Married,White,HS Grad,Middle Atlantic,Information,Very Good,No,4.698970004,109.8339856
2003,62,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.84509804,127.1157438
2006,33,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,5.021189299,151.5914842
2008,51,Married,White,HS Grad,Middle Atlantic,Information,Good,Yes,4.662757832,105.9278108
2006,36,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,No,5.301029996,200.5432623
2005,23,Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.079181246,59.09706408
2003,51,Divorced,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.230448921,68.74808773
2008,47,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,5.176091259,176.9896505
2003,34,Never Married,White,HS Grad,Middle Atlantic,Information,Good,Yes,4.643452676,103.9024706
2004,34,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.414973348,82.6796373
